sentence,departure,arrival
Pourquoi ne pas partir de La Rochelle à Calais en train ce week-end ?,La Rochelle,Calais
"De Clermont-Ferrand à Paris, le train est le choix le plus pratique.",Clermont-Ferrand,Paris
Je veux prendre le train de Amiens à Perpignan.,Amiens,Perpignan
Je veux prendre le train de Rennes à Paris.,Rennes,Paris
"De Lyon à Saint-Étienne, le train est le choix le plus pratique.",Lyon,Saint-Étienne
Je veux prendre le train de Limoges à Marseille.,Limoges,Marseille
"Allons de Paris à Toulouse en train, qu'en penses-tu ?",Paris,Toulouse
Tourcoing est une belle ville. Je veux y aller en train depuis Saint-Denis.,Saint-Denis,Tourcoing
Je souhaite découvrir Pau en prenant le train depuis Nantes.,Nantes,Pau
Je vais explorer Limoges en train en partant de Nice.,Nice,Limoges
Je vais explorer Saint-Denis en train en partant de Limoges.,Limoges,Saint-Denis
Le voyage de Toulon à Amiens en train est une excellente idée.,Toulon,Amiens
Le train de Bordeaux à Clermont-Ferrand offre une vue magnifique.,Bordeaux,Clermont-Ferrand
Je vais explorer Amiens en train en partant de La Rochelle.,La Rochelle,Amiens
Je veux prendre le train de Toulouse à Marseille.,Toulouse,Marseille
Je rêve de faire un voyage en train de Lyon à Saint-Étienne.,Lyon,Saint-Étienne
Je veux prendre le train de Tourcoing à Le Mans.,Tourcoing,Le Mans
Le train de Nîmes à Lille offre une vue magnifique.,Nîmes,Lille
Le train de Toulouse à Clermont-Ferrand est-il disponible demain ?,Toulouse,Clermont-Ferrand
Le train est le meilleur moyen de se rendre de Besançon à Amiens.,Besançon,Amiens
Je rêve de visiter Lyon en prenant le train depuis Paris.,Paris,Lyon
Mon prochain voyage sera de Montpellier à Marseille en train.,Montpellier,Marseille
Je m'apprête à réserver un billet de train pour Aix-en-Provence depuis Orléans.,Orléans,Aix-en-Provence
"Pour mes prochaines vacances, je vais de Perpignan à Toulouse en train.",Perpignan,Toulouse
Le train de Saint-Denis à Marseille offre une vue magnifique.,Saint-Denis,Marseille
"Voyager de Aix-en-Provence à Saint-Étienne en train, est-ce une option possible ?",Aix-en-Provence,Saint-Étienne
"Pour mes prochaines vacances, je vais de Clermont-Ferrand à Bordeaux en train.",Clermont-Ferrand,Bordeaux
Le train de Saint-Étienne à Béziers est-il disponible demain ?,Saint-Étienne,Béziers
"Allons de La Rochelle à Le Havre en train, qu'en penses-tu ?",La Rochelle,Le Havre
Je songe à voyager en train de Strasbourg vers Marseille.,Strasbourg,Marseille
"Pour mes prochaines vacances, je vais de Clermont-Ferrand à Lille en train.",Clermont-Ferrand,Lille
"Voyager de Toulon à Aix-en-Provence en train, est-ce une option possible ?",Toulon,Aix-en-Provence
Toulon est une belle ville. Je veux y aller en train depuis Toulouse.,Toulouse,Toulon
Tourcoing est une belle ville. Je veux y aller en train depuis Béziers.,Béziers,Tourcoing
Le train de Lyon à Tourcoing offre une vue magnifique.,Lyon,Tourcoing
Je rêve de visiter Lille en prenant le train depuis Rouen.,Rouen,Lille
J'ai prévu de partir en train de Lille à Paris.,Lille,Paris
Je songe à voyager en train de Le Mans vers Toulouse.,Le Mans,Toulouse
Le trajet en train de Perpignan à Lille est long mais pittoresque.,Perpignan,Lille
Je m'apprête à réserver un billet de train pour Strasbourg depuis Clermont-Ferrand.,Clermont-Ferrand,Strasbourg
Je veux prendre le train de Nîmes à Le Mans.,Nîmes,Le Mans
Le train est le meilleur moyen de se rendre de Perpignan à Bordeaux.,Perpignan,Bordeaux
Je songe à voyager en train de Tourcoing vers Lyon.,Tourcoing,Lyon
Le train de Strasbourg à Aix-en-Provence offre une vue magnifique.,Strasbourg,Aix-en-Provence
Je rêve de visiter Toulon en prenant le train depuis Strasbourg.,Strasbourg,Toulon
Le train est le meilleur moyen de se rendre de Toulouse à Aix-en-Provence.,Toulouse,Aix-en-Provence
Je rêve de faire un voyage en train de Lille à Béziers.,Lille,Béziers
Le voyage de Saint-Étienne à Montpellier en train est une excellente idée.,Saint-Étienne,Montpellier
Le train de Besançon à Nantes offre une vue magnifique.,Besançon,Nantes
Le voyage de Pau à Orléans en train est une excellente idée.,Pau,Orléans
"Allons de Nice à Le Mans en train, qu'en penses-tu ?",Nice,Le Mans
Je souhaite découvrir Bordeaux en prenant le train depuis Calais.,Calais,Bordeaux
Le train de La Rochelle à Nantes offre une vue magnifique.,La Rochelle,Nantes
C'est le moment idéal pour un voyage de Lille à Nice en train.,Lille,Nice
J'ai prévu de partir en train de Limoges à Marseille.,Limoges,Marseille
Toulon est une belle ville. Je veux y aller en train depuis Marseille.,Marseille,Toulon
Je songe à voyager en train de Nîmes vers Limoges.,Nîmes,Limoges
"Allons de Aix-en-Provence à Béziers en train, qu'en penses-tu ?",Aix-en-Provence,Béziers
"Pour mes prochaines vacances, je vais de Tourcoing à Toulon en train.",Tourcoing,Toulon
"Pour mes prochaines vacances, je vais de Rennes à Le Mans en train.",Rennes,Le Mans
"Allons de Besançon à Calais en train, qu'en penses-tu ?",Besançon,Calais
Je m'apprête à réserver un billet de train pour Saint-Étienne depuis Strasbourg.,Strasbourg,Saint-Étienne
Partir de Saint-Denis pour Limoges en train serait génial.,Saint-Denis,Limoges
C'est le moment idéal pour un voyage de Amiens à Besançon en train.,Amiens,Besançon
"De Calais à Nice, le train est mon choix préféré.",Calais,Nice
J'ai prévu de partir en train de Saint-Denis à Rouen.,Saint-Denis,Rouen
Partir de Marseille pour Nice en train serait génial.,Marseille,Nice
Je prévois de voyager de Perpignan à Rennes en train.,Perpignan,Rennes
"De La Rochelle à Le Mans, le train est le choix le plus pratique.",La Rochelle,Le Mans
Le trajet en train de Montpellier à Clermont-Ferrand est long mais pittoresque.,Montpellier,Clermont-Ferrand
Le train de Limoges à Strasbourg est-il disponible demain ?,Limoges,Strasbourg
"De La Rochelle à Toulon, le train est le choix le plus pratique.",La Rochelle,Toulon
C'est le moment idéal pour un voyage de Montpellier à Le Mans en train.,Montpellier,Le Mans
Mon prochain voyage sera de Orléans à Toulon en train.,Orléans,Toulon
Pourquoi ne pas partir de Aix-en-Provence à Toulouse en train ce week-end ?,Aix-en-Provence,Toulouse
Le train de Tourcoing à Strasbourg est-il disponible demain ?,Tourcoing,Strasbourg
Je vais explorer Montpellier en train en partant de Pau.,Pau,Montpellier
Le voyage de Limoges à Tourcoing en train est une excellente idée.,Limoges,Tourcoing
Le train de Rennes à Nantes offre une vue magnifique.,Rennes,Nantes
Je rêve de visiter Saint-Denis en prenant le train depuis Lyon.,Lyon,Saint-Denis
Le voyage de Limoges à Calais en train est une excellente idée.,Limoges,Calais
Je songe à voyager en train de Pau vers Besançon.,Pau,Besançon
"De Le Havre à Amiens, le train est mon choix préféré.",Le Havre,Amiens
Mon prochain voyage sera de Toulon à Tourcoing en train.,Toulon,Tourcoing
"De Marseille à Calais, le train est mon choix préféré.",Marseille,Calais
J'ai prévu de partir en train de Tourcoing à Limoges.,Tourcoing,Limoges
"Voyager de Tourcoing à Béziers en train, est-ce une option possible ?",Tourcoing,Béziers
Je veux prendre le train de La Rochelle à Limoges.,La Rochelle,Limoges
Je rêve de faire un voyage en train de Marseille à Montpellier.,Marseille,Montpellier
J'ai prévu de partir en train de Lille à Perpignan.,Lille,Perpignan
"De Marseille à Aix-en-Provence, le train est le choix le plus pratique.",Marseille,Aix-en-Provence
"Allons de Strasbourg à Aix-en-Provence en train, qu'en penses-tu ?",Strasbourg,Aix-en-Provence
"Voyager de Clermont-Ferrand à Bordeaux en train, est-ce une option possible ?",Clermont-Ferrand,Bordeaux
"De Besançon à Le Havre, le train est mon choix préféré.",Besançon,Le Havre
Je songe à voyager en train de Besançon vers Strasbourg.,Besançon,Strasbourg
Partir de Perpignan pour Aix-en-Provence en train serait génial.,Perpignan,Aix-en-Provence
"De Nîmes à Toulouse, le train est mon choix préféré.",Nîmes,Toulouse
Le train est le meilleur moyen de se rendre de Toulouse à Amiens.,Toulouse,Amiens
Le voyage de Rennes à Saint-Denis en train est une excellente idée.,Rennes,Saint-Denis
"De Perpignan à Bordeaux, le train est mon choix préféré.",Perpignan,Bordeaux
"Allons de Bordeaux à Aix-en-Provence en train, qu'en penses-tu ?",Bordeaux,Aix-en-Provence
Le voyage de Perpignan à Rennes en train est une excellente idée.,Perpignan,Rennes
"Pour mes prochaines vacances, je vais de Nîmes à Nantes en train.",Nîmes,Nantes
C'est le moment idéal pour un voyage de Saint-Denis à Toulon en train.,Saint-Denis,Toulon
Pourquoi ne pas partir de Calais à Montpellier en train ce week-end ?,Calais,Montpellier
Je souhaite découvrir Besançon en prenant le train depuis Toulon.,Toulon,Besançon
Je prévois de voyager de La Rochelle à Nantes en train.,La Rochelle,Nantes
Pourquoi ne pas partir de Besançon à Marseille en train ce week-end ?,Besançon,Marseille
Je m'apprête à réserver un billet de train pour Paris depuis Montpellier.,Montpellier,Paris
Je souhaite découvrir Limoges en prenant le train depuis Paris.,Paris,Limoges
Le voyage de Lille à Rouen en train est une excellente idée.,Lille,Rouen
Le train de Lille à Montpellier offre une vue magnifique.,Lille,Montpellier
Je veux prendre le train de Lille à Pau.,Lille,Pau
Je rêve de faire un voyage en train de Le Mans à Nice.,Le Mans,Nice
Le train est le meilleur moyen de se rendre de Orléans à Bordeaux.,Orléans,Bordeaux
Pourquoi ne pas partir de Amiens à Bordeaux en train ce week-end ?,Amiens,Bordeaux
"De Clermont-Ferrand à Toulouse, le train est mon choix préféré.",Clermont-Ferrand,Toulouse
"De Lyon à Toulouse, le train est le choix le plus pratique.",Lyon,Toulouse
"De Montpellier à Le Havre, le train est mon choix préféré.",Montpellier,Le Havre
J'ai prévu de partir en train de Saint-Étienne à Paris.,Saint-Étienne,Paris
Je m'apprête à réserver un billet de train pour Toulouse depuis Besançon.,Besançon,Toulouse
Mon prochain voyage sera de Marseille à Lyon en train.,Marseille,Lyon
Le trajet en train de Limoges à Nîmes est long mais pittoresque.,Limoges,Nîmes
Partir de Strasbourg pour Saint-Étienne en train serait génial.,Strasbourg,Saint-Étienne
Je songe à voyager en train de Toulouse vers Le Mans.,Toulouse,Le Mans
Le trajet en train de Le Mans à Montpellier est long mais pittoresque.,Le Mans,Montpellier
Pourquoi ne pas partir de Bordeaux à Limoges en train ce week-end ?,Bordeaux,Limoges
Le trajet en train de Paris à Amiens est long mais pittoresque.,Paris,Amiens
"De Limoges à Amiens, le train est le choix le plus pratique.",Limoges,Amiens
J'ai prévu de partir en train de Strasbourg à Rouen.,Strasbourg,Rouen
Je prévois de voyager de Rennes à Tourcoing en train.,Rennes,Tourcoing
Le trajet en train de Lille à Béziers est long mais pittoresque.,Lille,Béziers
Le voyage de Calais à Montpellier en train est une excellente idée.,Calais,Montpellier
"Voyager de Saint-Denis à Lille en train, est-ce une option possible ?",Saint-Denis,Lille
"Pour mes prochaines vacances, je vais de Béziers à Montpellier en train.",Béziers,Montpellier
Le train de Strasbourg à Tourcoing est-il disponible demain ?,Strasbourg,Tourcoing
Je prévois de voyager de Aix-en-Provence à Strasbourg en train.,Aix-en-Provence,Strasbourg
J'ai prévu de partir en train de Rennes à Marseille.,Rennes,Marseille
Je songe à voyager en train de Limoges vers Lyon.,Limoges,Lyon
C'est le moment idéal pour un voyage de Tourcoing à Lyon en train.,Tourcoing,Lyon
Partir de Aix-en-Provence pour Orléans en train serait génial.,Aix-en-Provence,Orléans
Le trajet en train de Le Mans à Nantes est long mais pittoresque.,Le Mans,Nantes
Le voyage de Nice à Rennes en train est une excellente idée.,Nice,Rennes
"Pour mes prochaines vacances, je vais de Saint-Étienne à Limoges en train.",Saint-Étienne,Limoges
Je prévois de voyager de Calais à Paris en train.,Calais,Paris
Le train de Nice à Besançon offre une vue magnifique.,Nice,Besançon
Je vais explorer Orléans en train en partant de Rennes.,Rennes,Orléans
Je rêve de visiter Saint-Étienne en prenant le train depuis Toulon.,Toulon,Saint-Étienne
Partir de Toulouse pour Orléans en train serait génial.,Toulouse,Orléans
Le Havre est une belle ville. Je veux y aller en train depuis La Rochelle.,La Rochelle,Le Havre
Je rêve de faire un voyage en train de Calais à Nice.,Calais,Nice
Je souhaite découvrir Le Havre en prenant le train depuis Nîmes.,Nîmes,Le Havre
"Voyager de Saint-Denis à Aix-en-Provence en train, est-ce une option possible ?",Saint-Denis,Aix-en-Provence
Je m'apprête à réserver un billet de train pour Rennes depuis Toulon.,Toulon,Rennes
Lyon est une belle ville. Je veux y aller en train depuis Besançon.,Besançon,Lyon
J'ai prévu de partir en train de Lille à Strasbourg.,Lille,Strasbourg
Mon prochain voyage sera de Pau à Nantes en train.,Pau,Nantes
Je veux prendre le train de Besançon à Perpignan.,Besançon,Perpignan
Mon prochain voyage sera de Toulouse à Montpellier en train.,Toulouse,Montpellier
Je prévois de voyager de Béziers à Lille en train.,Béziers,Lille
Je rêve de visiter Toulon en prenant le train depuis Besançon.,Besançon,Toulon
C'est le moment idéal pour un voyage de Calais à Toulon en train.,Calais,Toulon
Je souhaite découvrir Lille en prenant le train depuis Orléans.,Orléans,Lille
Tourcoing est une belle ville. Je veux y aller en train depuis Nantes.,Nantes,Tourcoing
"De Orléans à Le Havre, le train est le choix le plus pratique.",Orléans,Le Havre
Toulon est une belle ville. Je veux y aller en train depuis Pau.,Pau,Toulon
"Voyager de Saint-Denis à Toulon en train, est-ce une option possible ?",Saint-Denis,Toulon
Je rêve de visiter Limoges en prenant le train depuis Rennes.,Rennes,Limoges
Le train de Limoges à Orléans offre une vue magnifique.,Limoges,Orléans
Je vais explorer Rennes en train en partant de Béziers.,Béziers,Rennes
Je prévois de voyager de Limoges à Montpellier en train.,Limoges,Montpellier
Le train de Perpignan à Marseille offre une vue magnifique.,Perpignan,Marseille
Pourquoi ne pas partir de Nantes à Le Mans en train ce week-end ?,Nantes,Le Mans
Je rêve de visiter Amiens en prenant le train depuis Calais.,Calais,Amiens
Le trajet en train de Béziers à Strasbourg est long mais pittoresque.,Béziers,Strasbourg
Partir de Pau pour Orléans en train serait génial.,Pau,Orléans
Je souhaite découvrir Perpignan en prenant le train depuis Rouen.,Rouen,Perpignan
"Allons de Pau à Clermont-Ferrand en train, qu'en penses-tu ?",Pau,Clermont-Ferrand
Toulouse est une belle ville. Je veux y aller en train depuis Nantes.,Nantes,Toulouse
"De Aix-en-Provence à Tourcoing, le train est le choix le plus pratique.",Aix-en-Provence,Tourcoing
Je m'apprête à réserver un billet de train pour Béziers depuis La Rochelle.,La Rochelle,Béziers
Je vais explorer Aix-en-Provence en train en partant de Lyon.,Lyon,Aix-en-Provence
Le train de Strasbourg à Saint-Denis est-il disponible demain ?,Strasbourg,Saint-Denis
Pau est une belle ville. Je veux y aller en train depuis Saint-Étienne.,Saint-Étienne,Pau
Le train de Aix-en-Provence à Marseille est-il disponible demain ?,Aix-en-Provence,Marseille
Toulon est une belle ville. Je veux y aller en train depuis Le Havre.,Le Havre,Toulon
"Allons de Besançon à Paris en train, qu'en penses-tu ?",Besançon,Paris
Je rêve de visiter Perpignan en prenant le train depuis Aix-en-Provence.,Aix-en-Provence,Perpignan
Le train de Strasbourg à Bordeaux est-il disponible demain ?,Strasbourg,Bordeaux
Le trajet en train de Montpellier à Saint-Étienne est long mais pittoresque.,Montpellier,Saint-Étienne
"De Rennes à Paris, le train est mon choix préféré.",Rennes,Paris
Je prévois de voyager de Bordeaux à Nantes en train.,Bordeaux,Nantes
Je rêve de visiter Toulouse en prenant le train depuis Bordeaux.,Bordeaux,Toulouse
Partir de Limoges pour Rennes en train serait génial.,Limoges,Rennes
Je veux prendre le train de Limoges à Amiens.,Limoges,Amiens
Le trajet en train de Orléans à Perpignan est long mais pittoresque.,Orléans,Perpignan
"Allons de Orléans à Tourcoing en train, qu'en penses-tu ?",Orléans,Tourcoing
Le train de Limoges à Rouen offre une vue magnifique.,Limoges,Rouen
Je rêve de visiter Rennes en prenant le train depuis Limoges.,Limoges,Rennes
Je veux prendre le train de Saint-Denis à Limoges.,Saint-Denis,Limoges
Je m'apprête à réserver un billet de train pour Besançon depuis Montpellier.,Montpellier,Besançon
"De Orléans à Béziers, le train est mon choix préféré.",Orléans,Béziers
"Voyager de Lille à Pau en train, est-ce une option possible ?",Lille,Pau
"De Calais à Le Havre, le train est mon choix préféré.",Calais,Le Havre
Je prévois de voyager de Clermont-Ferrand à Saint-Étienne en train.,Clermont-Ferrand,Saint-Étienne
Le trajet en train de Paris à Le Havre est long mais pittoresque.,Paris,Le Havre
C'est le moment idéal pour un voyage de Béziers à Pau en train.,Béziers,Pau
Le train de Le Havre à Montpellier offre une vue magnifique.,Le Havre,Montpellier
Le train de Montpellier à Le Havre offre une vue magnifique.,Montpellier,Le Havre
J'ai prévu de partir en train de Rouen à Béziers.,Rouen,Béziers
Je souhaite découvrir Rennes en prenant le train depuis La Rochelle.,La Rochelle,Rennes
Je vais explorer Montpellier en train en partant de Calais.,Calais,Montpellier
Partir de Béziers pour Pau en train serait génial.,Béziers,Pau
Je m'apprête à réserver un billet de train pour Marseille depuis Rennes.,Rennes,Marseille
J'ai prévu de partir en train de Montpellier à Strasbourg.,Montpellier,Strasbourg
Je rêve de visiter Béziers en prenant le train depuis Amiens.,Amiens,Béziers
Mon prochain voyage sera de Saint-Étienne à Lille en train.,Saint-Étienne,Lille
Le trajet en train de Pau à Nîmes est long mais pittoresque.,Pau,Nîmes
Le voyage de Nantes à Le Mans en train est une excellente idée.,Nantes,Le Mans
La Rochelle est une belle ville. Je veux y aller en train depuis Saint-Denis.,Saint-Denis,La Rochelle
Le trajet en train de Toulouse à Marseille est long mais pittoresque.,Toulouse,Marseille
Le Mans est une belle ville. Je veux y aller en train depuis Clermont-Ferrand.,Clermont-Ferrand,Le Mans
Je rêve de faire un voyage en train de Nîmes à Lyon.,Nîmes,Lyon
La Rochelle est une belle ville. Je veux y aller en train depuis Rennes.,Rennes,La Rochelle
Partir de Montpellier pour Limoges en train serait génial.,Montpellier,Limoges
Montpellier est une belle ville. Je veux y aller en train depuis Pau.,Pau,Montpellier
Je prévois de voyager de Saint-Étienne à Bordeaux en train.,Saint-Étienne,Bordeaux
"Voyager de Lyon à Toulon en train, est-ce une option possible ?",Lyon,Toulon
Je m'apprête à réserver un billet de train pour Nantes depuis Montpellier.,Montpellier,Nantes
Le voyage de Nice à Nîmes en train est une excellente idée.,Nice,Nîmes
Le trajet en train de Bordeaux à Amiens est long mais pittoresque.,Bordeaux,Amiens
Je rêve de visiter Le Mans en prenant le train depuis Aix-en-Provence.,Aix-en-Provence,Le Mans
"Voyager de Marseille à Saint-Étienne en train, est-ce une option possible ?",Marseille,Saint-Étienne
Le train de Toulon à Rennes offre une vue magnifique.,Toulon,Rennes
Le trajet en train de Montpellier à Toulon est long mais pittoresque.,Montpellier,Toulon
Je veux prendre le train de Montpellier à Bordeaux.,Montpellier,Bordeaux
Je rêve de visiter Le Mans en prenant le train depuis Saint-Étienne.,Saint-Étienne,Le Mans
Je vais explorer Amiens en train en partant de Lyon.,Lyon,Amiens
"Pour mes prochaines vacances, je vais de Calais à Paris en train.",Calais,Paris
J'ai prévu de partir en train de Rouen à La Rochelle.,Rouen,La Rochelle
"Voyager de Le Mans à Orléans en train, est-ce une option possible ?",Le Mans,Orléans
Je veux prendre le train de Saint-Étienne à Lille.,Saint-Étienne,Lille
Je vais explorer Le Havre en train en partant de Béziers.,Béziers,Le Havre
C'est le moment idéal pour un voyage de Besançon à Le Havre en train.,Besançon,Le Havre
J'ai prévu de partir en train de Pau à Toulouse.,Pau,Toulouse
Je vais explorer Nantes en train en partant de Montpellier.,Montpellier,Nantes
Je rêve de faire un voyage en train de Lille à Toulouse.,Lille,Toulouse
"Pour mes prochaines vacances, je vais de Amiens à Saint-Denis en train.",Amiens,Saint-Denis
"Voyager de Saint-Denis à Rennes en train, est-ce une option possible ?",Saint-Denis,Rennes
Le train de Lyon à Bordeaux offre une vue magnifique.,Lyon,Bordeaux
Je prévois de voyager de Paris à Lille en train.,Paris,Lille
Je veux prendre le train de Toulouse à Paris.,Toulouse,Paris
"Allons de Tourcoing à Pau en train, qu'en penses-tu ?",Tourcoing,Pau
Mon prochain voyage sera de Toulouse à Pau en train.,Toulouse,Pau
C'est le moment idéal pour un voyage de Paris à Lyon en train.,Paris,Lyon
Je rêve de faire un voyage en train de Orléans à Calais.,Orléans,Calais
Pourquoi ne pas partir de Pau à Strasbourg en train ce week-end ?,Pau,Strasbourg
Le train de Nantes à Saint-Denis offre une vue magnifique.,Nantes,Saint-Denis
Je veux prendre le train de Toulouse à La Rochelle.,Toulouse,La Rochelle
J'ai prévu de partir en train de Béziers à Strasbourg.,Béziers,Strasbourg
Partir de Nantes pour Strasbourg en train serait génial.,Nantes,Strasbourg
Le train de Paris à Saint-Denis offre une vue magnifique.,Paris,Saint-Denis
Le trajet en train de Le Havre à Aix-en-Provence est long mais pittoresque.,Le Havre,Aix-en-Provence
"Pour mes prochaines vacances, je vais de Nîmes à Montpellier en train.",Nîmes,Montpellier
"Allons de Besançon à Saint-Étienne en train, qu'en penses-tu ?",Besançon,Saint-Étienne
Je souhaite découvrir Clermont-Ferrand en prenant le train depuis Perpignan.,Perpignan,Clermont-Ferrand
Pourquoi ne pas partir de Rennes à Le Havre en train ce week-end ?,Rennes,Le Havre
Le train de Le Havre à Béziers offre une vue magnifique.,Le Havre,Béziers
"Voyager de Montpellier à Bordeaux en train, est-ce une option possible ?",Montpellier,Bordeaux
Je souhaite découvrir Aix-en-Provence en prenant le train depuis Tourcoing.,Tourcoing,Aix-en-Provence
Je rêve de faire un voyage en train de Pau à Rennes.,Pau,Rennes
"Pour mes prochaines vacances, je vais de Strasbourg à Saint-Denis en train.",Strasbourg,Saint-Denis
"De Calais à Besançon, le train est le choix le plus pratique.",Calais,Besançon
Amiens est une belle ville. Je veux y aller en train depuis Nîmes.,Nîmes,Amiens
Le train est le meilleur moyen de se rendre de Nîmes à Orléans.,Nîmes,Orléans
Mon prochain voyage sera de Limoges à Clermont-Ferrand en train.,Limoges,Clermont-Ferrand
"Allons de Lyon à Rennes en train, qu'en penses-tu ?",Lyon,Rennes
"Allons de Paris à Bordeaux en train, qu'en penses-tu ?",Paris,Bordeaux
Je vais explorer Le Mans en train en partant de Bordeaux.,Bordeaux,Le Mans
Je vais explorer Le Mans en train en partant de Toulouse.,Toulouse,Le Mans
Pourquoi ne pas partir de Bordeaux à Besançon en train ce week-end ?,Bordeaux,Besançon
J'ai prévu de partir en train de Perpignan à Montpellier.,Perpignan,Montpellier
"De Orléans à Saint-Étienne, le train est le choix le plus pratique.",Orléans,Saint-Étienne
Je prévois de voyager de Pau à Paris en train.,Pau,Paris
J'ai prévu de partir en train de Paris à Montpellier.,Paris,Montpellier
Le train de Besançon à Clermont-Ferrand est-il disponible demain ?,Besançon,Clermont-Ferrand
Le train de Nice à Perpignan est-il disponible demain ?,Nice,Perpignan
"De Toulon à Aix-en-Provence, le train est mon choix préféré.",Toulon,Aix-en-Provence
Le trajet en train de Lille à Toulon est long mais pittoresque.,Lille,Toulon
Je rêve de visiter Bordeaux en prenant le train depuis Toulouse.,Toulouse,Bordeaux
Pourquoi ne pas partir de Saint-Étienne à Nice en train ce week-end ?,Saint-Étienne,Nice
C'est le moment idéal pour un voyage de Lille à Aix-en-Provence en train.,Lille,Aix-en-Provence
"Pour mes prochaines vacances, je vais de Lille à Besançon en train.",Lille,Besançon
Le train est le meilleur moyen de se rendre de Saint-Denis à Rouen.,Saint-Denis,Rouen
"Voyager de Rennes à Tourcoing en train, est-ce une option possible ?",Rennes,Tourcoing
Je veux prendre le train de Rennes à Le Mans.,Rennes,Le Mans
Le train de Perpignan à Besançon est-il disponible demain ?,Perpignan,Besançon
Le train de Marseille à Bordeaux offre une vue magnifique.,Marseille,Bordeaux
Je m'apprête à réserver un billet de train pour Amiens depuis Rouen.,Rouen,Amiens
Je souhaite découvrir Tourcoing en prenant le train depuis Orléans.,Orléans,Tourcoing
Le train est le meilleur moyen de se rendre de Lille à Calais.,Lille,Calais
"Allons de Saint-Étienne à Aix-en-Provence en train, qu'en penses-tu ?",Saint-Étienne,Aix-en-Provence
J'ai prévu de partir en train de Saint-Étienne à Pau.,Saint-Étienne,Pau
"De Amiens à Béziers, le train est mon choix préféré.",Amiens,Béziers
Je vais explorer Toulon en train en partant de Calais.,Calais,Toulon
Je m'apprête à réserver un billet de train pour Béziers depuis Toulon.,Toulon,Béziers
Le train de Nantes à Limoges est-il disponible demain ?,Nantes,Limoges
"Pour mes prochaines vacances, je vais de Besançon à Toulouse en train.",Besançon,Toulouse
C'est le moment idéal pour un voyage de Saint-Étienne à Nice en train.,Saint-Étienne,Nice
"Pour mes prochaines vacances, je vais de Rennes à Amiens en train.",Rennes,Amiens
Je songe à voyager en train de Le Mans vers La Rochelle.,Le Mans,La Rochelle
Le train de Toulon à Saint-Denis est-il disponible demain ?,Toulon,Saint-Denis
J'ai prévu de partir en train de Rennes à Calais.,Rennes,Calais
Je vais explorer Nice en train en partant de Toulouse.,Toulouse,Nice
"Allons de Perpignan à Béziers en train, qu'en penses-tu ?",Perpignan,Béziers
Je vais explorer Strasbourg en train en partant de Montpellier.,Montpellier,Strasbourg
Le train de Bordeaux à Lyon offre une vue magnifique.,Bordeaux,Lyon
Pourquoi ne pas partir de Béziers à Limoges en train ce week-end ?,Béziers,Limoges
"Voyager de Béziers à Montpellier en train, est-ce une option possible ?",Béziers,Montpellier
"De Le Mans à Strasbourg, le train est mon choix préféré.",Le Mans,Strasbourg
Le trajet en train de Orléans à La Rochelle est long mais pittoresque.,Orléans,La Rochelle
Pourquoi ne pas partir de Limoges à Rouen en train ce week-end ?,Limoges,Rouen
Je souhaite découvrir Lyon en prenant le train depuis Pau.,Pau,Lyon
Je rêve de visiter Aix-en-Provence en prenant le train depuis Montpellier.,Montpellier,Aix-en-Provence
"De Toulon à Strasbourg, le train est mon choix préféré.",Toulon,Strasbourg
C'est le moment idéal pour un voyage de Nîmes à Tourcoing en train.,Nîmes,Tourcoing
Le trajet en train de Rouen à Toulouse est long mais pittoresque.,Rouen,Toulouse
Le train est le meilleur moyen de se rendre de Béziers à Aix-en-Provence.,Béziers,Aix-en-Provence
Le Havre est une belle ville. Je veux y aller en train depuis Rennes.,Rennes,Le Havre
Pourquoi ne pas partir de Bordeaux à Nîmes en train ce week-end ?,Bordeaux,Nîmes
Mon prochain voyage sera de Le Havre à Clermont-Ferrand en train.,Le Havre,Clermont-Ferrand
Je m'apprête à réserver un billet de train pour Orléans depuis Limoges.,Limoges,Orléans
Nîmes est une belle ville. Je veux y aller en train depuis La Rochelle.,La Rochelle,Nîmes
Mon prochain voyage sera de Calais à Saint-Denis en train.,Calais,Saint-Denis
Le train est le meilleur moyen de se rendre de Aix-en-Provence à Limoges.,Aix-en-Provence,Limoges
Pourquoi ne pas partir de Le Havre à Calais en train ce week-end ?,Le Havre,Calais
"Pour mes prochaines vacances, je vais de Lyon à Toulouse en train.",Lyon,Toulouse
Le train de Tourcoing à Orléans offre une vue magnifique.,Tourcoing,Orléans
Le trajet en train de Paris à Lyon est long mais pittoresque.,Paris,Lyon
Le train de Saint-Denis à Le Havre offre une vue magnifique.,Saint-Denis,Le Havre
Je m'apprête à réserver un billet de train pour Béziers depuis Toulouse.,Toulouse,Béziers
"De Bordeaux à Paris, le train est mon choix préféré.",Bordeaux,Paris
J'ai prévu de partir en train de Nantes à Le Havre.,Nantes,Le Havre
"De Lille à Bordeaux, le train est le choix le plus pratique.",Lille,Bordeaux
"De Bordeaux à Saint-Étienne, le train est le choix le plus pratique.",Bordeaux,Saint-Étienne
Je vais explorer Toulon en train en partant de Toulouse.,Toulouse,Toulon
Le trajet en train de Rouen à La Rochelle est long mais pittoresque.,Rouen,La Rochelle
Le voyage de Rouen à Nîmes en train est une excellente idée.,Rouen,Nîmes
